filename,code,panel_type,is_horizontal,axis_range,floor,fill_color,center_x,center_y,top_y,min_x,max_x,min_y,max_y,width,height,path_d
Zone01,Zone01_GFRC_H14,Horizontal,True,7-8,4th FLOOR,#87CEEB,2176.53395,607.08385,566.1407,2054.3345,2298.7334,566.1407,648.027,244.39890000000014,81.8863,"M2298.7334,566.1407 L2054.3345,566.1407 L2054.3345,648.027 L2298.7334,648.027 z"
Zone01,Zone01_GFRC_H15,Horizontal,True,8-7,4th FLOOR,#87CEEB,1930.87505,607.08385,566.1407,1808.6754,2053.0747,566.1407,648.027,244.39930000000004,81.8863,"M2053.0747,566.1407 L1808.6754,566.1407 L1808.6754,648.027 L2053.0747,648.027 z"
Zone01,Zone01_GFRC_H16,Horizontal,True,8-7,4th FLOOR,#87CEEB,1685.21615,607.08385,566.1407,1563.0165,1807.4158,566.1407,648.027,244.39930000000004,81.8863,"M1807.4158,566.1407 L1563.0165,566.1407 L1563.0165,648.027 L1807.4158,648.027 z"
Zone01,Zone01_GFRC_V9,Vertical,False,8-7,4th FLOOR,#98FB98,1889.67995,770.856475,649.2868,1849.4927,1929.8672,649.2868,892.42615,80.3744999999999,243.13935000000004,"M1929.8672,892.42615 L1849.4927,892.42615 L1849.4927,649.2868 L1929.8672,649.2868 z"
Zone01,Zone01_GFRC_V10,Vertical,False,10-9,4th FLOOR,#98FB98,1071.06885,770.856475,649.2868,1030.1257,1112.012,649.2868,892.42615,81.88629999999989,243.13935000000004,"M1112.012,892.42615 L1030.1257,892.42615 L1030.1257,649.2868 L1112.012,649.2868 z"
Zone01,Zone01_GFRC_V11,Vertical,False,9-8,4th FLOOR,#98FB98,1235.0934499999998,770.856475,649.2868,1194.9061,1275.2808,649.2868,892.42615,80.37470000000008,243.13935000000004,"M1194.9061,892.42615 L1275.2808,892.42615 L1275.2808,649.2868 L1194.9061,649.2868 z"
Zone01,Zone01_GFRC_V12,Vertical,False,9-8,4th FLOOR,#98FB98,1317.4836,770.856475,649.2868,1276.5404,1358.4268,649.2868,892.42615,81.88639999999987,243.13935000000004,"M1276.5404,649.2868 L1358.4268,649.2868 L1358.4268,892.42615 L1276.5404,892.42615 z"
Zone01,Zone01_GFRC_V13,Vertical,False,9-8,4th FLOOR,#98FB98,1153.4591500000001,770.856475,649.2868,1113.2719,1193.6464,649.2868,892.42615,80.37450000000013,243.13935000000004,"M1113.2719,649.2868 L1193.6464,649.2868 L1193.6464,892.42615 L1113.2719,892.42615 z"
Zone01,Zone01_GFRC_V14,Vertical,False,8-7,4th FLOOR,#98FB98,1807.2897,770.856475,649.2868,1766.3466,1848.2328,649.2868,892.42615,81.88619999999992,243.13935000000004,"M1848.2328,649.2868 L1766.3466,649.2868 L1766.3466,892.42615 L1848.2328,892.42615 z"
Zone01,Zone01_GFRC_V15,Vertical,False,8-7,4th FLOOR,#98FB98,1971.31435,770.856475,649.2868,1931.1271,2011.5016,649.2868,892.42615,80.37450000000013,243.13935000000004,"M2011.5016,649.2868 L1931.1271,649.2868 L1931.1271,892.42615 L2011.5016,892.42615 z"
Zone01,Zone01_GFRC_V16,Vertical,False,8-7,4th FLOOR,#98FB98,2053.70455,770.856475,649.2868,2012.7614,2094.6477,649.2868,892.42615,81.88629999999989,243.13935000000004,"M2012.7614,892.42615 L2094.6477,892.42615 L2094.6477,649.2868 L2012.7614,649.2868 z"
Zone01,Zone01_GFRC_H17,Horizontal,True,10-9,3rd FLOOR,#87CEEB,732.18553,934.62905,893.6859,639.59106,824.78,893.6859,975.5722,185.18894,81.8863,"M639.59106,893.6859 L824.78,893.6859 L824.78,975.5722 L639.59106,975.5722 z"
Zone01,Zone01_GFRC_H18,Horizontal,True,10-9,3rd FLOOR,#87CEEB,948.2394300000001,934.62905,893.6859,826.03986,1070.439,893.6859,975.5722,244.3991400000001,81.8863,"M1070.439,893.6859 L826.03986,893.6859 L826.03986,975.5722 L1070.439,975.5722 z"
Zone01,Zone01_GFRC_H19,Horizontal,True,9-8,3rd FLOOR,#87CEEB,1439.55725,934.62905,893.6859,1317.3577,1561.7568,893.6859,975.5722,244.3991000000001,81.8863,"M1561.7568,893.6859 L1317.3577,893.6859 L1317.3577,975.5722 L1561.7568,975.5722 z"
Zone01,Zone01_GFRC_H20,Horizontal,True,8-7,3rd FLOOR,#87CEEB,1685.21615,934.62905,893.6859,1563.0165,1807.4158,893.6859,975.5722,244.39930000000004,81.8863,"M1807.4158,893.6859 L1563.0165,893.6859 L1563.0165,975.5722 L1807.4158,975.5722 z"
Zone01,Zone01_GFRC_H21,Horizontal,True,8-7,3rd FLOOR,#87CEEB,1930.87505,934.62905,893.6859,1808.6754,2053.0747,893.6859,975.5722,244.39930000000004,81.8863,"M2053.0747,893.6859 L1808.6754,893.6859 L1808.6754,975.5722 L2053.0747,975.5722 z"
Zone01,Zone01_GFRC_H22,Horizontal,True,7-8,3rd FLOOR,#87CEEB,2176.53395,934.62905,893.6859,2054.3345,2298.7334,893.6859,975.5722,244.39890000000014,81.8863,"M2298.7334,893.6859 L2054.3345,893.6859 L2054.3345,975.5722 L2298.7334,975.5722 z"
Zone01,Zone01_GFRC_H23,Horizontal,True,9-8,3rd FLOOR,#87CEEB,1193.8982999999998,934.62905,893.6859,1071.6987,1316.0979,893.6859,975.5722,244.39920000000006,81.8863,"M1316.0979,893.6859 L1071.6987,893.6859 L1071.6987,975.5722 L1316.0979,975.5722 z"
Zone01,Zone01_GFRC_H24,Horizontal,True,7-8,3rd FLOOR,#87CEEB,2392.5879,934.62905,893.6859,2299.9934,2485.1824,893.6859,975.5722,185.1890000000003,81.8863,"M2485.1824,893.6859 L2299.9934,893.6859 L2299.9934,975.5722 L2485.1824,975.5722 z"
Zone01,Zone01_GFRC_V17,Vertical,False,9-8,3rd FLOOR,#98FB98,1235.0934499999998,1098.401715,976.83203,1194.9061,1275.2808,976.83203,1219.9714,80.37470000000008,243.13936999999987,"M1194.9061,1219.9714 L1275.2808,1219.9714 L1275.2808,976.83203 L1194.9061,976.83203 z"
Zone01,Zone01_GFRC_V18,Vertical,False,8-7,3rd FLOOR,#98FB98,1889.67995,1098.401715,976.83203,1849.4927,1929.8672,976.83203,1219.9714,80.3744999999999,243.13936999999987,"M1929.8672,1219.9714 L1849.4927,1219.9714 L1849.4927,976.83203 L1929.8672,976.83203 z"
Zone01,Zone01_GFRC_V19,Vertical,False,9-8,3rd FLOOR,#98FB98,1317.4836,1098.401715,976.83203,1276.5404,1358.4268,976.83203,1219.9714,81.88639999999987,243.13936999999987,"M1276.5404,976.83203 L1358.4268,976.83203 L1358.4268,1219.9714 L1276.5404,1219.9714 z"
Zone01,Zone01_GFRC_V20,Vertical,False,9-8,3rd FLOOR,#98FB98,1153.4591500000001,1098.401715,976.83203,1113.2719,1193.6464,976.83203,1219.9714,80.37450000000013,243.13936999999987,"M1113.2719,976.83203 L1193.6464,976.83203 L1193.6464,1219.9714 L1113.2719,1219.9714 z"
Zone01,Zone01_GFRC_V21,Vertical,False,10-9,3rd FLOOR,#98FB98,1071.06885,1098.401715,976.83203,1030.1257,1112.012,976.83203,1219.9714,81.88629999999989,243.13936999999987,"M1112.012,1219.9714 L1030.1257,1219.9714 L1030.1257,976.83203 L1112.012,976.83203 z"
