code,panel_type,is_horizontal,axis_range,floor,fill_color,center_x,center_y,top_y,min_x,max_x,min_y,max_y,width,height,path_d
GFRC_H29,Horizontal,True,7-8,2nd FLOOR,#87CEEB,2392.5879,1262.17425,1221.2311,2299.9934,2485.1824,1221.2311,1303.1174,185.1890000000003,81.88630000000012,"M2485.1824,1221.2311 L2299.9934,1221.2311 L2299.9934,1303.1174 L2485.1824,1303.1174 z"
GFRC_H30,Horizontal,True,10-9,2nd FLOOR,#87CEEB,948.2394300000001,1262.17425,1221.2311,826.03986,1070.439,1221.2311,1303.1174,244.3991400000001,81.88630000000012,"M1070.439,1221.2311 L826.03986,1221.2311 L826.03986,1303.1174 L1070.439,1303.1174 z"
GFRC_H31,Horizontal,True,10-9,2nd FLOOR,#87CEEB,732.18553,1262.17425,1221.2311,639.59106,824.78,1221.2311,1303.1174,185.18894,81.88630000000012,"M639.59106,1221.2311 L824.78,1221.2311 L824.78,1303.1174 L639.59106,1303.1174 z"
GFRC_H32,Horizontal,True,9-8,2nd FLOOR,#87CEEB,1193.8982999999998,1262.17425,1221.2311,1071.6987,1316.0979,1221.2311,1303.1174,244.39920000000006,81.88630000000012,"M1316.0979,1221.2311 L1071.6987,1221.2311 L1071.6987,1303.1174 L1316.0979,1303.1174 z"
GFRC_V25,Vertical,False,9-8,2nd FLOOR,#98FB98,1235.0934499999998,1425.9468499999998,1304.3772,1194.9061,1275.2808,1304.3772,1547.5165,80.37470000000008,243.13930000000005,"M1194.9061,1547.5165 L1275.2808,1547.5165 L1275.2808,1304.3772 L1194.9061,1304.3772 z"
GFRC_V26,Vertical,False,8-7,2nd FLOOR,#98FB98,1889.67995,1425.9468499999998,1304.3772,1849.4927,1929.8672,1304.3772,1547.5165,80.3744999999999,243.13930000000005,"M1929.8672,1547.5165 L1849.4927,1547.5165 L1849.4927,1304.3772 L1929.8672,1304.3772 z"
GFRC_V27,Vertical,False,8-7,2nd FLOOR,#98FB98,2053.70455,1425.9468499999998,1304.3772,2012.7614,2094.6477,1304.3772,1547.5165,81.88629999999989,243.13930000000005,"M2012.7614,1547.5165 L2094.6477,1547.5165 L2094.6477,1304.3772 L2012.7614,1304.3772 z"
GFRC_V28,Vertical,False,9-8,2nd FLOOR,#98FB98,1317.4836,1425.9468499999998,1304.3772,1276.5404,1358.4268,1304.3772,1547.5165,81.88639999999987,243.13930000000005,"M1276.5404,1304.3772 L1358.4268,1304.3772 L1358.4268,1547.5165 L1276.5404,1547.5165 z"
GFRC_V29,Vertical,False,9-8,2nd FLOOR,#98FB98,1153.4591500000001,1425.9468499999998,1304.3772,1113.2719,1193.6464,1304.3772,1547.5165,80.37450000000013,243.13930000000005,"M1113.2719,1304.3772 L1193.6464,1304.3772 L1193.6464,1547.5165 L1113.2719,1547.5165 z"
GFRC_V30,Vertical,False,10-9,2nd FLOOR,#98FB98,1071.06885,1425.9468499999998,1304.3772,1030.1257,1112.012,1304.3772,1547.5165,81.88629999999989,243.13930000000005,"M1112.012,1547.5165 L1030.1257,1547.5165 L1030.1257,1304.3772 L1112.012,1304.3772 z"
GFRC_V31,Vertical,False,8-7,2nd FLOOR,#98FB98,1807.2897,1425.9468499999998,1304.3772,1766.3466,1848.2328,1304.3772,1547.5165,81.88619999999992,243.13930000000005,"M1848.2328,1304.3772 L1766.3466,1304.3772 L1766.3466,1547.5165 L1848.2328,1547.5165 z"
GFRC_V32,Vertical,False,8-7,2nd FLOOR,#98FB98,1971.31435,1425.9468499999998,1304.3772,1931.1271,2011.5016,1304.3772,1547.5165,80.37450000000013,243.13930000000005,"M2011.5016,1304.3772 L1931.1271,1304.3772 L1931.1271,1547.5165 L2011.5016,1547.5165 z"
GFRC_H33,Horizontal,True,7-8,1nd FLOOR,#87CEEB,2392.5879,1589.7195000000002,1548.7764,2299.9934,2485.1824,1548.7764,1630.6626,185.1890000000003,81.88620000000014,"M2485.1824,1548.7764 L2299.9934,1548.7764 L2299.9934,1630.6626 L2485.1824,1630.6626 z"
GFRC_H34,Horizontal,True,10-9,1nd FLOOR,#87CEEB,732.18553,1589.7195000000002,1548.7764,639.59106,824.78,1548.7764,1630.6626,185.18894,81.88620000000014,"M639.59106,1548.7764 L824.78,1548.7764 L824.78,1630.6626 L639.59106,1630.6626 z"
GFRC_H35,Horizontal,True,10-9,1nd FLOOR,#87CEEB,948.2394300000001,1589.7195000000002,1548.7764,826.03986,1070.439,1548.7764,1630.6626,244.3991400000001,81.88620000000014,"M1070.439,1548.7764 L826.03986,1548.7764 L826.03986,1630.6626 L1070.439,1630.6626 z"
GFRC_H36,Horizontal,True,9-8,1nd FLOOR,#87CEEB,1193.8982999999998,1589.7195000000002,1548.7764,1071.6987,1316.0979,1548.7764,1630.6626,244.39920000000006,81.88620000000014,"M1316.0979,1548.7764 L1071.6987,1548.7764 L1071.6987,1630.6626 L1316.0979,1630.6626 z"
GFRC_H37,Horizontal,True,9-8,1nd FLOOR,#87CEEB,1439.55725,1589.7195000000002,1548.7764,1317.3577,1561.7568,1548.7764,1630.6626,244.3991000000001,81.88620000000014,"M1561.7568,1548.7764 L1317.3577,1548.7764 L1317.3577,1630.6626 L1561.7568,1630.6626 z"
GFRC_H38,Horizontal,True,8-7,1nd FLOOR,#87CEEB,1685.21615,1589.7195000000002,1548.7764,1563.0165,1807.4158,1548.7764,1630.6626,244.39930000000004,81.88620000000014,"M1807.4158,1548.7764 L1563.0165,1548.7764 L1563.0165,1630.6626 L1807.4158,1630.6626 z"
GFRC_H39,Horizontal,True,7-8,1nd FLOOR,#87CEEB,2176.53395,1589.7195000000002,1548.7764,2054.3345,2298.7334,1548.7764,1630.6626,244.39890000000014,81.88620000000014,"M2298.7334,1548.7764 L2054.3345,1548.7764 L2054.3345,1630.6626 L2298.7334,1630.6626 z"
GFRC_H40,Horizontal,True,8-7,1nd FLOOR,#87CEEB,1930.87505,1589.7195000000002,1548.7764,1808.6754,2053.0747,1548.7764,1630.6626,244.39930000000004,81.88620000000014,"M2053.0747,1548.7764 L1808.6754,1548.7764 L1808.6754,1630.6626 L2053.0747,1630.6626 z"
GFRC_V33,Vertical,False,9-8,1nd FLOOR,#98FB98,1317.4836,1753.4920499999998,1631.9225,1276.5404,1358.4268,1631.9225,1875.0616,81.88639999999987,243.1391000000001,"M1276.5404,1631.9225 L1358.4268,1631.9225 L1358.4268,1875.0616 L1276.5404,1875.0616 z"
GFRC_V34,Vertical,False,9-8,1nd FLOOR,#98FB98,1235.0934499999998,1753.4920499999998,1631.9225,1194.9061,1275.2808,1631.9225,1875.0616,80.37470000000008,243.1391000000001,"M1194.9061,1875.0616 L1275.2808,1875.0616 L1275.2808,1631.9225 L1194.9061,1631.9225 z"
GFRC_V35,Vertical,False,9-8,1nd FLOOR,#98FB98,1153.4591500000001,1753.4920499999998,1631.9225,1113.2719,1193.6464,1631.9225,1875.0616,80.37450000000013,243.1391000000001,"M1113.2719,1631.9225 L1193.6464,1631.9225 L1193.6464,1875.0616 L1113.2719,1875.0616 z"
GFRC_V36,Vertical,False,10-9,1nd FLOOR,#98FB98,1071.06885,1753.4920499999998,1631.9225,1030.1257,1112.012,1631.9225,1875.0616,81.88629999999989,243.1391000000001,"M1112.012,1875.0616 L1030.1257,1875.0616 L1030.1257,1631.9225 L1112.012,1631.9225 z"
GFRC_V37,Vertical,False,8-7,1nd FLOOR,#98FB98,1807.2897,1753.4920499999998,1631.9225,1766.3466,1848.2328,1631.9225,1875.0616,81.88619999999992,243.1391000000001,"M1848.2328,1631.9225 L1766.3466,1631.9225 L1766.3466,1875.0616 L1848.2328,1875.0616 z"
GFRC_V38,Vertical,False,8-7,1nd FLOOR,#98FB98,1889.67995,1753.4920499999998,1631.9225,1849.4927,1929.8672,1631.9225,1875.0616,80.3744999999999,243.1391000000001,"M1929.8672,1875.0616 L1849.4927,1875.0616 L1849.4927,1631.9225 L1929.8672,1631.9225 z"
GFRC_V39,Vertical,False,8-7,1nd FLOOR,#98FB98,1971.31435,1753.4920499999998,1631.9225,1931.1271,2011.5016,1631.9225,1875.0616,80.37450000000013,243.1391000000001,"M2011.5016,1631.9225 L1931.1271,1631.9225 L1931.1271,1875.0616 L2011.5016,1875.0616 z"
GFRC_V40,Vertical,False,8-7,1nd FLOOR,#98FB98,2053.70455,1753.4920499999998,1631.9225,2012.7614,2094.6477,1631.9225,1875.0616,81.88629999999989,243.1391000000001,"M2012.7614,1875.0616 L2094.6477,1875.0616 L2094.6477,1631.9225 L2012.7614,1631.9225 z"
GFRC_H41,Horizontal,True,10-9,GROUND FLOOR,#87CEEB,948.2394300000001,1917.2647000000002,1876.3215,826.03986,1070.439,1876.3215,1958.2079,244.3991400000001,81.8864000000001,"M1070.439,1876.3215 L826.03986,1876.3215 L826.03986,1958.2079 L1070.439,1958.2079 z"
GFRC_H42,Horizontal,True,9-8,GROUND FLOOR,#87CEEB,1193.8982999999998,1917.2647000000002,1876.3215,1071.6987,1316.0979,1876.3215,1958.2079,244.39920000000006,81.8864000000001,"M1316.0979,1876.3215 L1071.6987,1876.3215 L1071.6987,1958.2079 L1316.0979,1958.2079 z"
GFRC_H43,Horizontal,True,9-8,GROUND FLOOR,#87CEEB,1439.55725,1917.2647000000002,1876.3215,1317.3577,1561.7568,1876.3215,1958.2079,244.3991000000001,81.8864000000001,"M1561.7568,1876.3215 L1317.3577,1876.3215 L1317.3577,1958.2079 L1561.7568,1958.2079 z"
GFRC_H44,Horizontal,True,8-7,GROUND FLOOR,#87CEEB,1685.21615,1917.2647000000002,1876.3215,1563.0165,1807.4158,1876.3215,1958.2079,244.39930000000004,81.8864000000001,"M1807.4158,1876.3215 L1563.0165,1876.3215 L1563.0165,1958.2079 L1807.4158,1958.2079 z"
GFRC_H45,Horizontal,True,7-8,GROUND FLOOR,#87CEEB,2392.5879,1917.2647000000002,1876.3215,2299.9934,2485.1824,1876.3215,1958.2079,185.1890000000003,81.8864000000001,"M2485.1824,1876.3215 L2299.9934,1876.3215 L2299.9934,1958.2079 L2485.1824,1958.2079 z"
GFRC_H46,Horizontal,True,7-8,GROUND FLOOR,#87CEEB,2176.53395,1917.2647000000002,1876.3215,2054.3345,2298.7334,1876.3215,1958.2079,244.39890000000014,81.8864000000001,"M2298.7334,1876.3215 L2054.3345,1876.3215 L2054.3345,1958.2079 L2298.7334,1958.2079 z"
GFRC_H47,Horizontal,True,8-7,GROUND FLOOR,#87CEEB,1930.87505,1917.2647000000002,1876.3215,1808.6754,2053.0747,1876.3215,1958.2079,244.39930000000004,81.8864000000001,"M2053.0747,1876.3215 L1808.6754,1876.3215 L1808.6754,1958.2079 L2053.0747,1958.2079 z"
GFRC_H48,Horizontal,True,10-9,GROUND FLOOR,#87CEEB,732.18553,1917.2647000000002,1876.3215,639.59106,824.78,1876.3215,1958.2079,185.18894,81.8864000000001,"M639.59106,1876.3215 L824.78,1876.3215 L824.78,1958.2079 L639.59106,1958.2079 z"
GFRC_V41,Vertical,False,9-8,GROUND FLOOR,#98FB98,1317.4836,2081.03735,1959.4677,1276.5404,1358.4268,1959.4677,2202.607,81.88639999999987,243.13930000000005,"M1276.5404,1959.4677 L1358.4268,1959.4677 L1358.4268,2202.607 L1276.5404,2202.607 z"
GFRC_V42,Vertical,False,9-8,GROUND FLOOR,#98FB98,1235.0934499999998,2081.03735,1959.4677,1194.9061,1275.2808,1959.4677,2202.607,80.37470000000008,243.13930000000005,"M1194.9061,2202.607 L1275.2808,2202.607 L1275.2808,1959.4677 L1194.9061,1959.4677 z"
GFRC_V43,Vertical,False,9-8,GROUND FLOOR,#98FB98,1153.4591500000001,2081.03735,1959.4677,1113.2719,1193.6464,1959.4677,2202.607,80.37450000000013,243.13930000000005,"M1113.2719,1959.4677 L1193.6464,1959.4677 L1193.6464,2202.607 L1113.2719,2202.607 z"
GFRC_V44,Vertical,False,10-9,GROUND FLOOR,#98FB98,1071.06885,2081.03735,1959.4677,1030.1257,1112.012,1959.4677,2202.607,81.88629999999989,243.13930000000005,"M1112.012,2202.607 L1030.1257,2202.607 L1030.1257,1959.4677 L1112.012,1959.4677 z"
GFRC_V45,Vertical,False,8-7,GROUND FLOOR,#98FB98,1807.2897,2081.03735,1959.4677,1766.3466,1848.2328,1959.4677,2202.607,81.88619999999992,243.13930000000005,"M1848.2328,1959.4677 L1766.3466,1959.4677 L1766.3466,2202.607 L1848.2328,2202.607 z"
GFRC_V46,Vertical,False,8-7,GROUND FLOOR,#98FB98,1889.67995,2081.03735,1959.4677,1849.4927,1929.8672,1959.4677,2202.607,80.3744999999999,243.13930000000005,"M1929.8672,2202.607 L1849.4927,2202.607 L1849.4927,1959.4677 L1929.8672,1959.4677 z"
GFRC_V47,Vertical,False,8-7,GROUND FLOOR,#98FB98,1971.31435,2081.03735,1959.4677,1931.1271,2011.5016,1959.4677,2202.607,80.37450000000013,243.13930000000005,"M2011.5016,1959.4677 L1931.1271,1959.4677 L1931.1271,2202.607 L2011.5016,2202.607 z"
GFRC_V48,Vertical,False,8-7,GROUND FLOOR,#98FB98,2053.70455,2081.03735,1959.4677,2012.7614,2094.6477,1959.4677,2202.607,81.88629999999989,243.13930000000005,"M2012.7614,2202.607 L2094.6477,2202.607 L2094.6477,1959.4677 L2012.7614,1959.4677 z"
